-33.77318050965114, -62.198733345188266, -311.07954203083057
-34.60491720735975, -68.61256180321587, -218.98930180713296
-34.127227881284725, -126.40123073234138, -180.10008286489867
-36.12722788128472, -209.13836577750476, -190.7512213223227
31.41372492957544, -86.95342989740425, -272.44521854046843
37.83440512766741, -123.31362911288862, -222.10761945430107
27.610779589151278, -194.28518102835042, -223.0204271663359
-96.81155464296913, -85.96260189765843, -274.4082803595634
-101.79489617603154, -111.68674116612557, -222.66858103254475
-99.39393820482444, -196.10450748819855, -224.25848374003647
